date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,mkfastq,notes
2023_06_09,TRUE,channel1,FF09458839_nfm,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458892,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,50000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459023,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459023_bambanker,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459135,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459575,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459592,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,2000,25000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09459854,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,3000,25000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,pool_1_337-344,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,20000,65000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,pool_2_337-344,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,20000,60000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04678208,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04678236,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679235,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679330,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,900,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679332,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,400,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679387,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,1000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679397,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679433,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679446,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679567,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679568,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF04679594,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF05494528,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF05494844,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06995952,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06995960,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06995973,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,5000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06995975,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,7000,60000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996007,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996032,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996096,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,20000,200000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996100,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996146,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,5000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996153,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996171,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,200000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996475,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,2000,20000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06996662,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,4000,35000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06997185,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06997357,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF06998006,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,400,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF08068223,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F2,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF08068251,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF08068265,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_05_16,FALSE,channel1,FF08068353,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,2235MGLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230519_SL-EXE_0008_A2235MGLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
