date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes
2023_11_11,TRUE,channel1,pool_401_416_1_FF04679748,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_11,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF04679748/pool_401_416_1_FF04679748/pool_401_416_1_FF04679748_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_1_FF04679703,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_12,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF04679703/pool_401_416_1_FF04679703/pool_401_416_1_FF04679703_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_1_FF04678584,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_13,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF04678584/pool_401_416_1_FF04678584/pool_401_416_1_FF04678584_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_1_FF04677935,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_14,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF04677935/pool_401_416_1_FF04677935/pool_401_416_1_FF04677935_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_1_FF06997491,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_15,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF06997491/pool_401_416_1_FF06997491/pool_401_416_1_FF06997491_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_1_FF04679110,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-B12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_16,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_1_FF04679110/pool_401_416_1_FF04679110/pool_401_416_1_FF04679110_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04678342,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_17,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04678342/pool_401_416_2_FF04678342/pool_401_416_2_FF04678342_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679742,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_18,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679742/pool_401_416_2_FF04679742/pool_401_416_2_FF04679742_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679723,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_19,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679723/pool_401_416_2_FF04679723/pool_401_416_2_FF04679723_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679321,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_20,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679321/pool_401_416_2_FF04679321/pool_401_416_2_FF04679321_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679524,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_21,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679524/pool_401_416_2_FF04679524/pool_401_416_2_FF04679524_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04678446,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_22,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04678446/pool_401_416_2_FF04678446/pool_401_416_2_FF04678446_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679673,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_23,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679673/pool_401_416_2_FF04679673/pool_401_416_2_FF04679673_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679678,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_24,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679678/pool_401_416_2_FF04679678/pool_401_416_2_FF04679678_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679553,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_25,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679553/pool_401_416_2_FF04679553/pool_401_416_2_FF04679553_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679649,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_26,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679649/pool_401_416_2_FF04679649/pool_401_416_2_FF04679649_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679748,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_27,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679748/pool_401_416_2_FF04679748/pool_401_416_2_FF04679748_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679703,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_28,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679703/pool_401_416_2_FF04679703/pool_401_416_2_FF04679703_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04678584,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_29,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04678584/pool_401_416_2_FF04678584/pool_401_416_2_FF04678584_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04677935,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_30,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04677935/pool_401_416_2_FF04677935/pool_401_416_2_FF04677935_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF06997491,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_31,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF06997491/pool_401_416_2_FF06997491/pool_401_416_2_FF06997491_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
2023_11_11,TRUE,channel1,pool_401_416_2_FF04679110,rna,rna,nuclei,channel1,pbmc,1-2,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,AAC3LLHHV_32,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/cellbenderv2_FINNGEN/pool_401_416_2_FF04679110/pool_401_416_2_FF04679110/pool_401_416_2_FF04679110_out_FPR_0.01_filtered.h5,400,200,20,3000,35000,,,,TRUE,batch4,NovaseqX,10B,,bcl_convert,
